Movie_Name,Genre,City,Screen_Type,Show_Time,Total_Seats,Tickets_Sold,Occupancy_Rate,Ticket_Price,Ticket_Sales,Concession_Sales,Total_Revenue,Show_Date
Situation list,Comedy,New York,IMAX,Evening,100,77,0.7745071229516849,18,1386,273.9776819857443,1659.9776819857443,2025-02-04
Spend woman bag,Sci-Fi,New York,Standard,Morning,150,86,0.5792603548243223,10,860,268.9332417417336,1128.9332417417336,2024-06-20
Week fly often,Sci-Fi,New York,IMAX,Afternoon,200,139,0.6971532807151039,18,2502,431.7539991442282,2933.753999144228,2025-03-01
Once short order police,Comedy,Los Angeles,Standard,Late Night,150,124,0.8284544784612038,10,1240,664.2757792024507,1904.2757792024508,2024-10-16
Lead discuss stay water,Drama,New York,IMAX,Late Night,150,84,0.5648769937914996,18,1512,304.2411119367586,1816.2411119367587,2024-08-28
Pattern painting tough,Horror,Chicago,IMAX,Morning,100,56,0.5648794564576229,18,1008,248.41138122855676,1256.4113812285568,2024-12-17
Five police,Action,Chicago,Standard,Evening,200,187,0.9368819223261087,10,1870,904.6498099945383,2774.6498099945384,2025-01-02
Born cell response,Sci-Fi,New York,3D,Morning,150,107,0.7151152093729363,15,1605,675.9851963002818,2280.985196300282,2025-02-07
Allow them,Action,Miami,3D,Afternoon,100,52,0.5295788421097571,15,780,293.5427702620837,1073.5427702620836,2024-06-12
Reach including ground,Action,Chicago,IMAX,Afternoon,150,102,0.6813840065378947,18,1836,419.4132300689176,2255.4132300689175,2024-10-19
Same spring,Drama,Chicago,IMAX,Evening,100,63,0.6304873460781306,18,1134,357.88414394317874,1491.8841439431787,2025-01-09
Anything,Sci-Fi,New York,Standard,Afternoon,200,106,0.5301405369644614,10,1060,421.7998322642047,1481.7998322642047,2024-11-29
Sense up even,Sci-Fi,Houston,3D,Evening,100,73,0.7362943407349051,15,1095,418.90736128904337,1513.9073612890434,2024-09-22
Daughter court where move,Drama,New York,IMAX,Morning,150,46,0.3130079633013303,18,828,187.2643211795293,1015.2643211795294,2024-07-08
Here traditional last,Comedy,Los Angeles,Standard,Evening,200,88,0.44126232512304503,10,880,439.7294033412817,1319.7294033412818,2024-11-20
Including style give,Comedy,Houston,IMAX,Evening,100,61,0.6156568706138541,18,1098,364.77731163035196,1462.777311630352,2025-04-05
Number half letter,Sci-Fi,Miami,3D,Late Night,150,67,0.4480753319498364,15,1005,298.01504691524775,1303.0150469152477,2024-08-03
Hair church year,Action,Los Angeles,Standard,Late Night,100,64,0.647137099889291,10,640,412.44234487466645,1052.4423448746666,2024-10-08
Exist happen generation,Horror,Los Angeles,Standard,Afternoon,200,92,0.4637963886718184,10,920,299.3781958639202,1219.3781958639202,2025-02-07
Realize director employee,Sci-Fi,Houston,Standard,Late Night,150,58,0.3881544447997063,10,580,399.2901836063594,979.2901836063594,2024-11-02
Require quality,Sci-Fi,New York,Standard,Morning,150,122,0.8198473153382331,10,1220,741.0761815368336,1961.0761815368337,2024-09-05
Job admit,Horror,Chicago,IMAX,Evening,100,66,0.6661335549270196,18,1188,317.7830584709105,1505.7830584709104,2024-09-24
Difficult sport,Sci-Fi,Chicago,Standard,Afternoon,100,61,0.6101292307031886,10,610,395.4065310401711,1005.4065310401711,2025-02-13
Accept black fly,Comedy,Chicago,Standard,Afternoon,150,57,0.3862877720679815,10,570,344.85246241713446,914.8524624171345,2024-07-06
Ability develop place,Sci-Fi,Miami,Standard,Morning,150,77,0.5183425913212226,10,770,381.4905580729159,1151.490558072916,2025-01-07
Brother indeed book,Comedy,New York,3D,Evening,100,71,0.7166383884564799,15,1065,281.4075322550142,1346.4075322550143,2024-06-06
Arrive box thus,Horror,Miami,IMAX,Morning,100,42,0.42735096338665457,18,756,290.30139493779217,1046.301394937792,2024-05-01
Child player fall,Horror,Miami,IMAX,Afternoon,200,131,0.6563547027518508,18,2358,479.5265265024429,2837.5265265024427,2024-08-11
Pattern ability option,Comedy,Miami,Standard,Late Night,200,101,0.5099041965121792,10,1010,608.1271394408654,1618.1271394408654,2024-08-12
Green series,Horror,Los Angeles,Standard,Evening,200,131,0.6562459375310085,10,1310,733.5361022030736,2043.5361022030736,2024-05-18
Away everyone fact,Action,Houston,Standard,Late Night,100,50,0.5097440081655904,10,500,194.93946740631148,694.9394674063115,2024-10-31
Kid act statement,Sci-Fi,Chicago,IMAX,Afternoon,100,87,0.8778417276763406,18,1566,263.50241196681253,1829.5024119668126,2025-04-26
Offer exist court recently,Action,New York,IMAX,Morning,150,89,0.5979754162893098,18,1602,292.22521656036065,1894.2252165603606,2025-01-22
Strategy technology,Comedy,Los Angeles,3D,Late Night,200,88,0.44134336065661495,15,1320,310.5737707512088,1630.573770751209,2025-03-04
Red foot of,Comedy,Miami,Standard,Late Night,150,108,0.7233817368154783,10,1080,672.83870303519,1752.83870303519,2024-09-06
They dark,Horror,Los Angeles,IMAX,Morning,150,62,0.41687345250434665,18,1116,291.04749850894035,1407.0474985089404,2024-10-20
Through small,Action,Houston,Standard,Morning,100,63,0.6313295392507133,10,630,290.4605630897717,920.4605630897718,2024-12-20
Plan upon,Comedy,Chicago,IMAX,Afternoon,100,30,0.3060494814180337,18,540,154.3542904692413,694.3542904692413,2025-02-06
Democrat worker,Drama,Los Angeles,3D,Afternoon,150,60,0.4007720926652354,15,900,239.95354749170411,1139.953547491704,2024-10-23
Attack thing,Action,New York,3D,Morning,200,125,0.6295291853803685,15,1875,874.6412342063633,2749.641234206363,2024-05-06
Why draw,Comedy,New York,IMAX,Afternoon,150,106,0.7107699869993116,18,1908,523.9118371911046,2431.9118371911045,2025-04-02
Despite respond,Comedy,Los Angeles,3D,Morning,150,93,0.6257052421784955,15,1395,279.80180074673063,1674.8018007467306,2024-10-04
President cell again total,Drama,Houston,3D,Late Night,150,87,0.5826527576417639,15,1305,503.4138432528566,1808.4138432528566,2025-03-23
Box front center,Comedy,Miami,Standard,Late Night,100,55,0.5548344456616067,10,550,230.27572160880416,780.2757216088041,2024-12-09
Player too,Drama,New York,Standard,Morning,100,37,0.37822170144488587,10,370,118.42106591506513,488.4210659150651,2024-05-22
Including,Action,Houston,Standard,Afternoon,200,98,0.49202336874079367,10,980,325.4036943743101,1305.4036943743101,2024-08-23
Whose manager reach,Comedy,Los Angeles,IMAX,Morning,150,79,0.5309041843560318,18,1422,274.88417000729123,1696.8841700072912,2024-06-18
Inside us,Sci-Fi,Miami,IMAX,Morning,100,75,0.7585683339328373,18,1350,350.7674746007617,1700.7674746007617,2024-04-28
Hair,Drama,Miami,Standard,Evening,100,75,0.7515427434352692,10,750,425.91779243094874,1175.9177924309488,2024-08-05
Evidence develop size,Horror,Chicago,IMAX,Evening,100,43,0.43554397669558986,18,774,244.53071834911506,1018.5307183491151,2024-11-29
Natural letter,Action,Chicago,3D,Evening,100,74,0.7486125954092192,15,1110,357.6525146951015,1467.6525146951014,2024-07-04
Organization easy participant,Sci-Fi,Miami,IMAX,Morning,100,54,0.5422376579375525,18,972,271.2710939145333,1243.2710939145334,2025-03-01
Drive skill identify,Comedy,Los Angeles,3D,Morning,150,74,0.49846169995410616,15,1110,306.3562678001304,1416.3562678001304,2024-05-01
Window information,Sci-Fi,Houston,Standard,Evening,200,158,0.7917514433261301,10,1580,808.2905177246347,2388.290517724635,2024-10-22
For design,Comedy,Miami,3D,Morning,150,113,0.7546499283743926,15,1695,391.1737590294342,2086.173759029434,2025-03-23
Than per party,Drama,New York,Standard,Afternoon,150,110,0.7396920178674298,10,1100,596.1251238932986,1696.1251238932987,2025-03-21
Western system edge,Sci-Fi,Chicago,IMAX,Evening,150,86,0.5741173715166041,18,1548,344.3857107120436,1892.3857107120436,2024-09-30
Notice training,Drama,New York,IMAX,Late Night,100,55,0.5536181436223178,18,990,165.78005159931212,1155.7800515993122,2025-01-07
First morning citizen,Comedy,Los Angeles,Standard,Evening,200,149,0.7496895147105346,10,1490,710.333965069067,2200.333965069067,2024-09-18
Growth probably,Action,Houston,Standard,Morning,100,74,0.7463317690683539,10,740,501.7350779578052,1241.735077957805,2024-05-11
Our,Drama,Los Angeles,Standard,Morning,200,105,0.5281238643232065,10,1050,547.060540632899,1597.0605406328991,2024-05-02
